fold,hyperparam,error,walltime,cputime,n
1,60,28.29,00:36:43,02:08:58,3042
2,60,25.33,00:36:43,02:08:58,3042
3,60,26.64,00:36:43,02:08:58,3042
4,60,31.25,00:36:43,02:08:58,3042
5,60,26.23,00:36:43,02:08:58,3042
6,60,30.92,00:36:43,02:08:58,3042
7,60,33.55,00:36:43,02:08:58,3042
8,60,32.57,00:36:43,02:08:58,3042
9,60,31.80,00:36:43,02:08:58,3042
10,60,24.67,00:36:43,02:08:58,3042
1,65,28.02,00:16:02,02:11:20,2324
2,65,26.18,00:16:02,02:11:20,2324
3,65,29.18,00:16:02,02:11:20,2324
4,65,27.16,00:16:02,02:11:20,2324
5,65,31.03,00:16:02,02:11:20,2324
6,65,28.02,00:16:02,02:11:20,2324
7,65,31.33,00:16:02,02:11:20,2324
8,65,24.03,00:16:02,02:11:20,2324
9,65,24.14,00:16:02,02:11:20,2324
10,65,25.86,00:16:02,02:11:20,2324
1,70,26.01,00:12:39,01:34:36,1722
2,70,26.74,00:12:39,01:34:36,1722
3,70,25.58,00:12:39,01:34:36,1722
4,70,30.23,00:12:39,01:34:36,1722
5,70,25.58,00:12:39,01:34:36,1722
6,70,26.16,00:12:39,01:34:36,1722
7,70,25.00,00:12:39,01:34:36,1722
8,70,28.49,00:12:39,01:34:36,1722
9,70,30.81,00:12:39,01:34:36,1722
10,70,28.32,00:12:39,01:34:36,1722
1,75,29.84,00:18:05,00:54:12,1240
2,75,28.23,00:18:05,00:54:12,1240
3,75,21.77,00:18:05,00:54:12,1240
4,75,23.39,00:18:05,00:54:12,1240
5,75,29.84,00:18:05,00:54:12,1240
6,75,29.84,00:18:05,00:54:12,1240
7,75,29.84,00:18:05,00:54:12,1240
8,75,25.81,00:18:05,00:54:12,1240
9,75,25.81,00:18:05,00:54:12,1240
10,75,29.03,00:18:05,00:54:12,1240
1,80,25.00,00:04:36,00:43:20,842
2,80,26.19,00:04:36,00:43:20,842
3,80,25.88,00:04:36,00:43:20,842
4,80,28.57,00:04:36,00:43:20,842
5,80,30.95,00:04:36,00:43:20,842
6,80,25.00,00:04:36,00:43:20,842
7,80,29.76,00:04:36,00:43:20,842
8,80,25.88,00:04:36,00:43:20,842
9,80,32.14,00:04:36,00:43:20,842
10,80,19.05,00:04:36,00:43:20,842
1,85,23.21,00:02:51,00:26:30,560
2,85,23.21,00:02:51,00:26:30,560
3,85,23.21,00:02:51,00:26:30,560
4,85,25.00,00:02:51,00:26:30,560
5,85,23.21,00:02:51,00:26:30,560
6,85,37.50,00:02:51,00:26:30,560
7,85,23.21,00:02:51,00:26:30,560
8,85,26.79,00:02:51,00:26:30,560
9,85,21.43,00:02:51,00:26:30,560
10,85,21.43,00:02:51,00:26:30,560
